X,CH1,CH2
Second,Volt,Volt
-1.3660000e-03,2.96000e-01,7.20000e-03
-1.3656000e-03,2.72000e-01,-1.84000e-02
-1.3652000e-03,2.96000e-01,5.60000e-03
-1.3648000e-03,2.64000e-01,-1.68000e-02
-1.3644000e-03,2.88000e-01,6.40000e-03
-1.3640000e-03,2.64000e-01,-1.52000e-02
-1.3636000e-03,2.80000e-01,8.00000e-04
-1.3632000e-03,2.56000e-01,-1.68000e-02
-1.3628000e-03,2.80000e-01,8.00000e-03
-1.3624000e-03,2.56000e-01,-1.92000e-02
-1.3620000e-03,2.72000e-01,8.80000e-03
-1.3616000e-03,2.48000e-01,-1.76000e-02
-1.3612000e-03,2.72000e-01,5.60000e-03
-1.3608000e-03,2.56000e-01,-2.16000e-02
-1.3604000e-03,2.72000e-01,1.12000e-02
-1.3600000e-03,2.56000e-01,-1.84000e-02
-1.3596000e-03,2.64000e-01,6.40000e-03
-1.3592000e-03,2.48000e-01,-1.76000e-02
-1.3588000e-03,2.72000e-01,7.20000e-03
-1.3584000e-03,2.56000e-01,-1.60000e-02
-1.3580000e-03,2.72000e-01,4.80000e-03
-1.3576000e-03,2.56000e-01,-1.52000e-02
-1.3572000e-03,2.72000e-01,6.40000e-03
-1.3568000e-03,2.56000e-01,-2.40000e-02
-1.3564000e-03,2.72000e-01,1.44000e-02
-1.3560000e-03,2.48000e-01,-2.40000e-02
-1.3556000e-03,2.64000e-01,1.12000e-02
-1.3552001e-03,2.40000e-01,-2.24000e-02
-1.3548001e-03,2.64000e-01,1.12000e-02
-1.3544001e-03,2.40000e-01,-2.24000e-02
-1.3540001e-03,2.64000e-01,1.28000e-02
-1.3536001e-03,2.40000e-01,-1.76000e-02
-1.3532001e-03,2.64000e-01,5.60000e-03
-1.3528001e-03,2.48000e-01,-1.60000e-02
-1.3524001e-03,2.64000e-01,6.40000e-03
-1.3520001e-03,2.48000e-01,-2.24000e-02
-1.3516000e-03,2.72000e-01,1.20000e-02
-1.3512000e-03,2.48000e-01,-1.28000e-02
-1.3508000e-03,2.64000e-01,1.12000e-02
-1.3504000e-03,2.48000e-01,-2.64000e-02
-1.3500000e-03,2.64000e-01,1.44000e-02
-1.3496000e-03,2.48000e-01,-2.40000e-02
-1.3492000e-03,2.72000e-01,1.28000e-02
