X,CH1,CH2
Second,Volt,Volt
-1.5589601e-03,0.00000e+00,-4.00000e-02
-1.5585601e-03,6.00000e-01,8.00000e-02
-1.5581601e-03,0.00000e+00,-4.00000e-02
-1.5577601e-03,6.00000e-01,8.00000e-02
-1.5573601e-03,0.00000e+00,-4.00000e-02
-1.5569601e-03,6.00000e-01,8.00000e-02
-1.5565600e-03,0.00000e+00,-4.00000e-02
-1.5561600e-03,6.00000e-01,8.00000e-02
-1.5557600e-03,0.00000e+00,-4.00000e-02
-1.5553600e-03,6.00000e-01,8.00000e-02
-1.5549600e-03,0.00000e+00,-4.00000e-02
-1.5545600e-03,6.00000e-01,8.00000e-02
-1.5541600e-03,0.00000e+00,-4.00000e-02
-1.5537600e-03,6.00000e-01,8.00000e-02
-1.5533600e-03,0.00000e+00,-4.00000e-02
-1.5529600e-03,6.00000e-01,8.00000e-02
-1.5525600e-03,2.00000e-01,-4.00000e-02
-1.5521600e-03,6.00000e-01,1.20000e-01
-1.5517600e-03,2.00000e-01,-4.00000e-02
-1.5513600e-03,8.00000e-01,8.00000e-02
-1.5509600e-03,2.00000e-01,-4.00000e-02
-1.5505600e-03,1.00000e+00,8.00000e-02
-1.5501600e-03,6.00000e-01,-4.00000e-02
-1.5497600e-03,1.00000e+00,8.00000e-02
-1.5493600e-03,2.00000e-01,-4.00000e-02
-1.5489600e-03,8.00000e-01,8.00000e-02
-1.5485600e-03,2.00000e-01,-4.00000e-02
-1.5481600e-03,8.00000e-01,8.00000e-02
-1.5477600e-03,2.00000e-01,-4.00000e-02
-1.5473600e-03,1.00000e+00,8.00000e-02
-1.5469600e-03,4.00000e-01,-4.00000e-02
-1.5465600e-03,1.00000e+00,8.00000e-02
-1.5461601e-03,6.00000e-01,-4.00000e-02
-1.5457601e-03,1.00000e+00,8.00000e-02
-1.5453601e-03,6.00000e-01,-4.00000e-02
-1.5449601e-03,1.00000e+00,8.00000e-02
-1.5445601e-03,6.00000e-01,-4.00000e-02
-1.5441601e-03,1.00000e+00,8.00000e-02
-1.5437601e-03,6.00000e-01,-4.00000e-02
-1.5433601e-03,1.00000e+00,8.00000e-02
-1.5429601e-03,2.00000e-01,-4.00000e-02
-1.5425601e-03,8.00000e-01,8.00000e-02
-1.5421601e-03,0.00000e+00,-4.00000e-02
-1.5417601e-03,6.00000e-01,8.00000e-02
-1.5413600e-03,0.00000e+00,-4.00000e-02
-1.5409600e-03,6.00000e-01,8.00000e-02
-1.5405600e-03,0.00000e+00,-4.00000e-02
-1.5401600e-03,6.00000e-01,8.00000e-02
-1.5397600e-03,0.00000e+00,-4.00000e-02
-1.5393600e-03,6.00000e-01,4.00000e-02
-1.5389600e-03,0.00000e+00,-4.00000e-02
-1.5385600e-03,6.00000e-01,8.00000e-02
-1.5381600e-03,0.00000e+00,-4.00000e-02
-1.5377600e-03,6.00000e-01,8.00000e-02
-1.5373600e-03,0.00000e+00,-8.00000e-02
-1.5369600e-03,6.00000e-01,8.00000e-02
-1.5365600e-03,0.00000e+00,-4.00000e-02
-1.5361600e-03,6.00000e-01,8.00000e-02
-1.5357600e-03,0.00000e+00,-4.00000e-02
-1.5353600e-03,8.00000e-01,8.00000e-02
-1.5349600e-03,2.00000e-01,-4.00000e-02
-1.5345600e-03,6.00000e-01,8.00000e-02
-1.5341600e-03,0.00000e+00,-4.00000e-02
-1.5337600e-03,6.00000e-01,4.00000e-02
-1.5333600e-03,0.00000e+00,-4.00000e-02
-1.5329600e-03,6.00000e-01,8.00000e-02
-1.5325600e-03,0.00000e+00,-8.00000e-02
-1.5321600e-03,6.00000e-01,8.00000e-02
-1.5317600e-03,0.00000e+00,-4.00000e-02
-1.5313600e-03,8.00000e-01,8.00000e-02
-1.5309601e-03,2.00000e-01,-4.00000e-02
-1.5305601e-03,8.00000e-01,8.00000e-02
-1.5301601e-03,4.00000e-01,-4.00000e-02
-1.5297601e-03,1.00000e+00,8.00000e-02
-1.5293601e-03,4.00000e-01,-8.00000e-02
-1.5289601e-03,8.00000e-01,8.00000e-02
-1.5285601e-03,4.00000e-01,-4.00000e-02
-1.5281601e-03,1.00000e+00,8.00000e-02
-1.5277601e-03,6.00000e-01,-4.00000e-02
-1.5273601e-03,1.00000e+00,8.00000e-02
-1.5269601e-03,6.00000e-01,-4.00000e-02
-1.5265601e-03,1.00000e+00,8.00000e-02
-1.5261600e-03,2.00000e-01,-4.00000e-02
-1.5257600e-03,6.00000e-01,8.00000e-02
-1.5253600e-03,0.00000e+00,-8.00000e-02
-1.5249600e-03,6.00000e-01,8.00000e-02
