X,CH1,CH2
Second,Volt,Volt
-6.4260000e-04,6.00000e-01,6.00000e-02
-6.4240000e-04,2.00000e-01,0.00000e+00
-6.4220000e-04,6.00000e-01,4.00000e-02
-6.4200000e-04,2.00000e-01,0.00000e+00
-6.4180000e-04,6.00000e-01,4.00000e-02
-6.4160000e-04,2.00000e-01,0.00000e+00
-6.4139999e-04,6.00000e-01,4.00000e-02
-6.4119999e-04,2.00000e-01,0.00000e+00
-6.4099999e-04,6.00000e-01,4.00000e-02
-6.4079999e-04,2.00000e-01,0.00000e+00
-6.4059999e-04,6.00000e-01,4.00000e-02
-6.4039999e-04,2.00000e-01,0.00000e+00
-6.4019999e-04,6.00000e-01,4.00000e-02
-6.3999998e-04,2.00000e-01,0.00000e+00
-6.3979998e-04,6.00000e-01,4.00000e-02
-6.3959998e-04,2.00000e-01,0.00000e+00
-6.3939998e-04,6.00000e-01,4.00000e-02
-6.3919998e-04,2.00000e-01,0.00000e+00
-6.3899998e-04,6.00000e-01,4.00000e-02
-6.3879997e-04,2.00000e-01,0.00000e+00
-6.3859997e-04,6.00000e-01,4.00000e-02
-6.3839997e-04,2.00000e-01,0.00000e+00
-6.3819997e-04,6.00000e-01,4.00000e-02
-6.3799997e-04,2.00000e-01,0.00000e+00
-6.3779997e-04,6.00000e-01,4.00000e-02
-6.3759997e-04,2.00000e-01,0.00000e+00
-6.3739996e-04,6.00000e-01,4.00000e-02
-6.3719996e-04,2.00000e-01,0.00000e+00
-6.3699996e-04,6.00000e-01,4.00000e-02
-6.3679996e-04,2.00000e-01,0.00000e+00
-6.3659996e-04,6.00000e-01,4.00000e-02
-6.3639996e-04,2.00000e-01,0.00000e+00
-6.3619995e-04,6.00000e-01,4.00000e-02
-6.3600001e-04,2.00000e-01,0.00000e+00
-6.3580001e-04,6.00000e-01,4.00000e-02
-6.3560001e-04,2.00000e-01,0.00000e+00
-6.3540001e-04,6.00000e-01,6.00000e-02
-6.3520001e-04,2.00000e-01,0.00000e+00
-6.3500000e-04,6.00000e-01,6.00000e-02
-6.3480000e-04,2.00000e-01,0.00000e+00
-6.3460000e-04,6.00000e-01,6.00000e-02
-6.3440000e-04,2.00000e-01,0.00000e+00
-6.3420000e-04,6.00000e-01,4.00000e-02
-6.3400000e-04,2.00000e-01,0.00000e+00
-6.3379999e-04,6.00000e-01,4.00000e-02
-6.3359999e-04,2.00000e-01,0.00000e+00
-6.3339999e-04,6.00000e-01,4.00000e-02
-6.3319999e-04,2.00000e-01,0.00000e+00
-6.3299999e-04,6.00000e-01,4.00000e-02
-6.3279999e-04,2.00000e-01,0.00000e+00
