X,CH1,
Second,Volt,
-2.7897951e-01,7.04000e-01,
-2.7894288e-01,1.76000e-01,
-2.7890626e-01,6.16000e-01,
-2.7886963e-01,8.80000e-02,
-2.7883303e-01,6.16000e-01,
-2.7879640e-01,8.80000e-02,
-2.7875978e-01,7.04000e-01,
-2.7872315e-01,8.80000e-02,
-2.7868652e-01,7.04000e-01,
-2.7864993e-01,8.80000e-02,
-2.7861330e-01,7.92000e-01,
-2.7857667e-01,8.80000e-02,
-2.7854005e-01,7.04000e-01,
-2.7850342e-01,8.80000e-02,
-2.7846682e-01,7.04000e-01,
-2.7843019e-01,8.80000e-02,
-2.7839357e-01,7.04000e-01,
-2.7835694e-01,1.76000e-01,
-2.7832031e-01,6.16000e-01,
-2.7828372e-01,8.80000e-02,
-2.7824709e-01,7.04000e-01,
-2.7821046e-01,8.80000e-02,
-2.7817383e-01,7.04000e-01,
-2.7813721e-01,8.80000e-02,
-2.7810061e-01,7.92000e-01,
-2.7806398e-01,8.80000e-02,
-2.7802736e-01,7.92000e-01,
-2.7799073e-01,8.80000e-02,
-2.7795410e-01,6.16000e-01,
-2.7791750e-01,8.80000e-02,
-2.7788088e-01,7.92000e-01,
-2.7784425e-01,8.80000e-02,
-2.7780762e-01,6.16000e-01,
-2.7777100e-01,8.80000e-02,
-2.7773440e-01,7.04000e-01,
-2.7769777e-01,8.80000e-02,
-2.7766114e-01,7.04000e-01,
-2.7762452e-01,8.80000e-02,
-2.7758789e-01,7.04000e-01,
-2.7755129e-01,8.80000e-02,
-2.7751467e-01,7.04000e-01,
-2.7747804e-01,8.80000e-02,
-2.7744141e-01,6.16000e-01,
-2.7740479e-01,8.80000e-02,
-2.7736819e-01,7.04000e-01,
-2.7733156e-01,1.76000e-01,
-2.7729493e-01,7.04000e-01,
-2.7725831e-01,8.80000e-02,
-2.7722168e-01,6.16000e-01,
-2.7718508e-01,8.80000e-02,
-2.7714846e-01,7.04000e-01,
-2.7711183e-01,8.80000e-02,
-2.7707520e-01,8.80000e-01,
-2.7703857e-01,8.80000e-02,
-2.7700198e-01,7.04000e-01,
-2.7696535e-01,8.80000e-02,
-2.7692872e-01,7.04000e-01,
-2.7689210e-01,8.80000e-02,
-2.7685547e-01,7.04000e-01,
-2.7681887e-01,8.80000e-02,
-2.7678224e-01,7.92000e-01,
-2.7674562e-01,8.80000e-02,
-2.7670899e-01,7.04000e-01,
-2.7667236e-01,8.80000e-02,
-2.7663577e-01,7.92000e-01,
-2.7659914e-01,1.76000e-01,
-2.7656251e-01,6.16000e-01,
-2.7652588e-01,8.80000e-02,
-2.7648926e-01,7.04000e-01,
-2.7645266e-01,8.80000e-02,
-2.7641603e-01,7.92000e-01,
-2.7637941e-01,8.80000e-02,
-2.7634278e-01,6.16000e-01,
-2.7630615e-01,8.80000e-02,
-2.7626956e-01,6.16000e-01,
-2.7623293e-01,8.80000e-02,
-2.7619630e-01,7.92000e-01,
-2.7615967e-01,8.80000e-02,
-2.7612305e-01,7.92000e-01,
-2.7608645e-01,1.76000e-01,
-2.7604982e-01,6.16000e-01,
-2.7601320e-01,8.80000e-02,
-2.7597657e-01,6.16000e-01,
-2.7593994e-01,8.80000e-02,
-2.7590334e-01,7.04000e-01,
-2.7586672e-01,1.76000e-01,
-2.7583009e-01,7.04000e-01,
-2.7579346e-01,8.80000e-02,
-2.7575684e-01,7.04000e-01,
-2.7572024e-01,8.80000e-02,
-2.7568361e-01,6.16000e-01,
-2.7564698e-01,8.80000e-02,
-2.7561036e-01,7.04000e-01,
-2.7557373e-01,8.80000e-02,
-2.7553713e-01,6.16000e-01,
-2.7550051e-01,8.80000e-02,
-2.7546388e-01,7.04000e-01,
-2.7542725e-01,8.80000e-02,
-2.7539063e-01,7.92000e-01,
-2.7535403e-01,8.80000e-02,
-2.7531740e-01,7.04000e-01,
-2.7528077e-01,8.80000e-02,
-2.7524415e-01,7.04000e-01,
-2.7520752e-01,8.80000e-02,
-2.7517092e-01,7.04000e-01,
