X,CH1
Second,Volt
5.1200006e-02,-1.68000e-01
5.1600005e-02,1.00800e+00
5.2000005e-02,0.00000e+00
5.2400004e-02,1.00800e+00
5.2800003e-02,1.00800e+00
5.3200006e-02,-1.68000e-01
5.3600006e-02,1.00800e+00
5.4000005e-02,-1.68000e-01
5.4400004e-02,1.00800e+00
5.4800004e-02,-1.68000e-01
5.5200003e-02,0.00000e+00
5.5600006e-02,1.00800e+00
5.6000005e-02,0.00000e+00
5.6400005e-02,1.00800e+00
5.6800004e-02,0.00000e+00
5.7200003e-02,1.00800e+00
5.7600003e-02,0.00000e+00
5.8000006e-02,1.00800e+00
5.8400005e-02,-1.68000e-01
5.8800004e-02,1.00800e+00
5.9200004e-02,1.00800e+00
5.9600003e-02,-1.68000e-01
6.0000002e-02,-1.68000e-01
6.0400005e-02,6.21600e+00
6.0800005e-02,1.00800e+00
6.1200004e-02,-1.68000e-01
6.1600003e-02,-1.68000e-01
6.2000003e-02,1.00800e+00
6.2400002e-02,-1.68000e-01
6.2800005e-02,1.00800e+00
6.3200004e-02,0.00000e+00
6.3600004e-02,1.00800e+00
6.4000003e-02,0.00000e+00
6.4400002e-02,1.00800e+00
6.4800002e-02,1.00800e+00
6.5200008e-02,-1.68000e-01
6.5600008e-02,1.00800e+00
6.6000007e-02,-1.68000e-01
6.6400006e-02,1.00800e+00
6.6800006e-02,-1.68000e-01
6.7200005e-02,1.00800e+00
6.7600004e-02,-1.68000e-01
6.8000004e-02,1.00800e+00
6.8400003e-02,-1.68000e-01
6.8800002e-02,1.00800e+00
6.9200002e-02,0.00000e+00
6.9600008e-02,1.00800e+00
7.0000008e-02,-1.68000e-01
7.0400007e-02,1.00800e+00
7.0800006e-02,0.00000e+00
7.1200006e-02,1.00800e+00
7.1600005e-02,0.00000e+00
7.2000004e-02,1.00800e+00
7.2400004e-02,0.00000e+00
7.2800003e-02,1.00800e+00
7.3200002e-02,0.00000e+00
7.3600002e-02,1.00800e+00
7.4000001e-02,0.00000e+00
7.4400000e-02,0.00000e+00
7.4800007e-02,1.00800e+00
7.5200006e-02,1.00800e+00
7.5600006e-02,-1.68000e-01
7.6000005e-02,0.00000e+00
7.6400004e-02,1.00800e+00
7.6800004e-02,1.00800e+00
7.7200003e-02,-1.68000e-01
7.7600002e-02,0.00000e+00
7.8000002e-02,1.00800e+00
7.8400001e-02,1.00800e+00
7.8800000e-02,-1.68000e-01
7.9200000e-02,0.00000e+00
7.9600006e-02,1.00800e+00
8.0000006e-02,5.04000e+00
8.0400005e-02,-1.68000e-01
8.0800004e-02,1.00800e+00
8.1200004e-02,0.00000e+00
8.1600003e-02,0.00000e+00
8.2000002e-02,1.00800e+00
8.2400002e-02,0.00000e+00
8.2800001e-02,1.00800e+00
8.3200000e-02,1.00800e+00
8.3600000e-02,-1.68000e-01
8.3999999e-02,1.00800e+00
8.4400006e-02,0.00000e+00
8.4800005e-02,1.00800e+00
8.5200004e-02,0.00000e+00
8.5600004e-02,1.00800e+00
8.6000003e-02,-1.68000e-01
8.6400002e-02,1.00800e+00
8.6800002e-02,-1.68000e-01
8.7200001e-02,1.00800e+00
8.7600000e-02,-1.68000e-01
8.8000000e-02,1.00800e+00
8.8399999e-02,-1.68000e-01
8.8799998e-02,0.00000e+00
8.9200005e-02,1.00800e+00
8.9600004e-02,1.00800e+00
9.0000004e-02,-1.68000e-01
9.0400003e-02,1.51200e+00
9.0800002e-02,-1.68000e-01
9.1200002e-02,1.00800e+00
9.1600001e-02,-1.68000e-01
9.2000000e-02,1.00800e+00
9.2399999e-02,0.00000e+00
9.2799999e-02,1.00800e+00
9.3199998e-02,-1.68000e-01
9.3599997e-02,-1.68000e-01
9.4000004e-02,1.00800e+00
9.4400004e-02,0.00000e+00
9.4800003e-02,1.00800e+00
9.5200002e-02,1.00800e+00
9.5600002e-02,-1.68000e-01
9.6000001e-02,1.00800e+00
9.6400000e-02,0.00000e+00
9.6799999e-02,1.00800e+00
9.7199999e-02,-1.68000e-01
9.7599998e-02,0.00000e+00
9.7999997e-02,1.00800e+00
9.8399997e-02,0.00000e+00
9.8800004e-02,1.00800e+00
9.9200003e-02,1.00800e+00
9.9600002e-02,-1.68000e-01
1.0000000e-01,0.00000e+00
1.0040000e-01,3.86400e+00
1.0080000e-01,1.00800e+00
1.0120000e-01,0.00000e+00
1.0160000e-01,1.00800e+00
1.0200000e-01,-1.68000e-01
1.0240000e-01,1.00800e+00
1.0280000e-01,0.00000e+00
1.0320000e-01,1.00800e+00
1.0360000e-01,-1.68000e-01
1.0400000e-01,1.00800e+00
1.0440000e-01,0.00000e+00
1.0480000e-01,1.00800e+00
1.0520000e-01,-1.68000e-01
1.0560000e-01,1.00800e+00
1.0600000e-01,0.00000e+00
1.0640000e-01,1.00800e+00
1.0680000e-01,-1.68000e-01
1.0720000e-01,1.00800e+00
