X,CH1,
Second,Volt,
-3.7499998e-02,8.80000e-01,
-3.7400000e-02,8.80000e-02,
-3.7299998e-02,8.80000e-01,
-3.7200000e-02,8.80000e-02,
-3.7099998e-02,8.80000e-01,
-3.7000000e-02,8.80000e-02,
-3.6899999e-02,8.80000e-01,
-3.6800001e-02,8.80000e-02,
-3.6699999e-02,7.92000e-01,
-3.6599997e-02,8.80000e-02,
-3.6499999e-02,7.92000e-01,
-3.6399998e-02,8.80000e-02,
-3.6300000e-02,8.80000e-01,
-3.6199998e-02,8.80000e-02,
-3.6100000e-02,8.80000e-01,
-3.5999998e-02,8.80000e-02,
-3.5900000e-02,8.80000e-01,
-3.5799999e-02,8.80000e-02,
-3.5700001e-02,8.80000e-01,
-3.5599999e-02,8.80000e-02,
-3.5499997e-02,7.92000e-01,
-3.5399999e-02,8.80000e-02,
-3.5299998e-02,8.80000e-01,
-3.5200000e-02,8.80000e-02,
-3.5099998e-02,7.92000e-01,
-3.5000000e-02,8.80000e-02,
-3.4899998e-02,7.92000e-01,
-3.4800000e-02,8.80000e-02,
-3.4699999e-02,7.92000e-01,
-3.4600001e-02,8.80000e-02,
-3.4499999e-02,8.80000e-01,
-3.4399997e-02,8.80000e-02,
-3.4299999e-02,8.80000e-01,
-3.4199998e-02,8.80000e-02,
-3.4100000e-02,8.80000e-01,
-3.3999998e-02,8.80000e-02,
-3.3900000e-02,8.80000e-01,
-3.3799998e-02,8.80000e-02,
-3.3700000e-02,8.80000e-01,
-3.3599999e-02,8.80000e-02,
-3.3500001e-02,8.80000e-01,
-3.3399999e-02,8.80000e-02,
-3.3299997e-02,7.92000e-01,
-3.3199999e-02,8.80000e-02,
-3.3099998e-02,8.80000e-01,
-3.3000000e-02,8.80000e-02,
-3.2899998e-02,7.92000e-01,
-3.2800000e-02,8.80000e-02,
-3.2699998e-02,8.80000e-01,
-3.2600001e-02,8.80000e-02,
-3.2499999e-02,9.68000e-01,
-3.2400001e-02,8.80000e-02,
-3.2299999e-02,8.80000e-01,
-3.2199997e-02,8.80000e-02,
-3.2099999e-02,8.80000e-01,
-3.1999998e-02,8.80000e-02,
-3.1900000e-02,8.80000e-01,
-3.1799998e-02,8.80000e-02,
-3.1700000e-02,7.04000e-01,
-3.1599998e-02,8.80000e-02,
-3.1500001e-02,8.80000e-01,
-3.1399999e-02,8.80000e-02,
-3.1300001e-02,7.92000e-01,
-3.1199999e-02,8.80000e-02,
-3.1099999e-02,7.92000e-01,
-3.0999999e-02,8.80000e-02,
-3.0900000e-02,7.92000e-01,
-3.0800000e-02,8.80000e-02,
-3.0700000e-02,8.80000e-01,
-3.0599998e-02,8.80000e-02,
-3.0499998e-02,8.80000e-01,
-3.0399999e-02,8.80000e-02,
-3.0299999e-02,8.80000e-01,
-3.0199999e-02,8.80000e-02,
-3.0099999e-02,7.92000e-01,
-2.9999999e-02,8.80000e-02,
-2.9899999e-02,7.92000e-01,
-2.9800000e-02,8.80000e-02,
-2.9700000e-02,8.80000e-01,
-2.9600000e-02,8.80000e-02,
-2.9500000e-02,8.80000e-01,
-2.9399998e-02,8.80000e-02,
-2.9299999e-02,8.80000e-01,
-2.9199999e-02,8.80000e-02,
-2.9099999e-02,7.92000e-01,
-2.8999999e-02,8.80000e-02,
-2.8899999e-02,7.04000e-01,
-2.8800000e-02,8.80000e-02,
